step,orbit_index,timestamp_s,timestamp_utc,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55,value_56,value_57,value_58,value_59,value_60,value_61,value_62,value_63,value_64,value_65,value_66,value_67,value_68,value_69,value_70,value_71,value_72,value_73,value_74,value_75,value_76,value_77,value_78,value_79
1,2897,1.000000,2026-04-21T06:10:35.529793+00:00,nodes,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,242.000000,265.000000,289.000000,316.000000,346.000000,378.000000,412.000000,451.000000,492.000000,538.000000,588.000000,642.000000,702.000000,767.000000,838.000000,915.000000,1000.000000,1093.000000,1194.000000,1304.000000,1425.000000,1557.000000,1701.000000,1859.000000,2031.000000,2219.000000,2424.000000,2649.000000,2894.000000,3162.000000,3455.000000,3775.000000,4125.000000,4507.000000,4924.000000,5380.000000,5878.000000,6422.000000,7017.000000,7667.000000,8377.000000,9152.000000,10000.000000
1,2897,1.000000,2026-04-21T06:10:35.529793+00:00,driver-CR1-146p-dec_payld-base-tx_power_mw,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000
1,2897,1.000000,2026-04-21T06:10:35.529793+00:00,driver-CR1-146p-dec_payld-base-attenuation_linear,1.466254e-15,1.466220e-15,1.466230e-15,1.466192e-15,1.466185e-15,1.466205e-15,1.466196e-15,1.466204e-15,1.466220e-15,1.466240e-15,1.466233e-15,1.466214e-15,1.466219e-15,1.466245e-15,1.466230e-15,1.466227e-15,1.466228e-15,1.466225e-15,1.466231e-15,1.466238e-15,1.466224e-15,1.466225e-15,1.466220e-15,1.466214e-15,1.466229e-15,1.466237e-15,1.466233e-15,1.466232e-15,1.466227e-15,1.466235e-15,1.466228e-15,1.466234e-15,1.466233e-15,1.466230e-15,1.466228e-15,1.466221e-15,1.466225e-15,1.466229e-15,1.466226e-15,1.466235e-15,1.466230e-15,1.466233e-15,1.466233e-15,1.466228e-15,1.466232e-15,1.466232e-15,1.466233e-15,1.466231e-15,1.466234e-15,1.466234e-15,1.466231e-15,1.466230e-15,1.466235e-15,1.466230e-15,1.466231e-15,1.466231e-15,1.466231e-15,1.466229e-15,1.466229e-15,1.466229e-15,1.466227e-15,1.466228e-15,1.466225e-15,1.466224e-15,1.466225e-15,1.466226e-15,1.466228e-15,1.466229e-15,1.466227e-15,1.466227e-15,1.466228e-15,1.466226e-15,1.466227e-15,1.466228e-15,1.466228e-15,1.466228e-15,1.466229e-15,1.466228e-15,1.466227e-15
1,2897,1.000000,2026-04-21T06:10:35.529793+00:00,driver-CR1-146p-dec_payld-base-attenuation_db,148.337908,148.338010,148.337980,148.338091,148.338112,148.338053,148.338079,148.338055,148.338008,148.337949,148.337970,148.338027,148.338013,148.337936,148.337980,148.337988,148.337984,148.337992,148.337975,148.337954,148.337997,148.337992,148.338010,148.338027,148.337981,148.337959,148.337969,148.337973,148.337988,148.337965,148.337985,148.337966,148.337970,148.337978,148.337986,148.338005,148.337994,148.337982,148.337990,148.337965,148.337979,148.337970,148.337969,148.337985,148.337972,148.337973,148.337970,148.337976,148.337968,148.337966,148.337977,148.337978,148.337965,148.337979,148.337976,148.337975,148.337976,148.337982,148.337981,148.337981,148.337989,148.337986,148.337993,148.337996,148.337994,148.337991,148.337986,148.337983,148.337987,148.337988,148.337986,148.337991,148.337988,148.337986,148.337986,148.337984,148.337983,148.337985,148.337989
1,2897,1.000000,2026-04-21T06:10:35.529793+00:00,driver-CR1-146p-dec_payld-base-rx_power_mw,4.744705e-10,4.744594e-10,4.744627e-10,4.744505e-10,4.744482e-10,4.744546e-10,4.744518e-10,4.744544e-10,4.744596e-10,4.744660e-10,4.744637e-10,4.744574e-10,4.744590e-10,4.744674e-10,4.744626e-10,4.744618e-10,4.744621e-10,4.744613e-10,4.744632e-10,4.744654e-10,4.744608e-10,4.744613e-10,4.744594e-10,4.744575e-10,4.744625e-10,4.744649e-10,4.744638e-10,4.744634e-10,4.744618e-10,4.744642e-10,4.744620e-10,4.744641e-10,4.744637e-10,4.744629e-10,4.744620e-10,4.744599e-10,4.744611e-10,4.744624e-10,4.744615e-10,4.744642e-10,4.744627e-10,4.744637e-10,4.744639e-10,4.744621e-10,4.744635e-10,4.744634e-10,4.744638e-10,4.744631e-10,4.744640e-10,4.744642e-10,4.744629e-10,4.744628e-10,4.744643e-10,4.744627e-10,4.744630e-10,4.744632e-10,4.744631e-10,4.744624e-10,4.744625e-10,4.744625e-10,4.744617e-10,4.744620e-10,4.744612e-10,4.744609e-10,4.744611e-10,4.744614e-10,4.744620e-10,4.744623e-10,4.744618e-10,4.744618e-10,4.744620e-10,4.744615e-10,4.744618e-10,4.744619e-10,4.744620e-10,4.744621e-10,4.744623e-10,4.744620e-10,4.744616e-10
1,2897,1.000000,2026-04-21T06:10:35.529793+00:00,driver-CR1-146p-dec_payld-base-rx_power_dbm,-93.237908,-93.238010,-93.237980,-93.238091,-93.238112,-93.238053,-93.238079,-93.238055,-93.238008,-93.237949,-93.237970,-93.238027,-93.238013,-93.237936,-93.237980,-93.237988,-93.237984,-93.237992,-93.237975,-93.237954,-93.237997,-93.237992,-93.238010,-93.238027,-93.237981,-93.237959,-93.237969,-93.237973,-93.237988,-93.237965,-93.237985,-93.237966,-93.237970,-93.237978,-93.237986,-93.238005,-93.237994,-93.237982,-93.237990,-93.237965,-93.237979,-93.237970,-93.237969,-93.237985,-93.237972,-93.237973,-93.237970,-93.237976,-93.237968,-93.237966,-93.237977,-93.237978,-93.237965,-93.237979,-93.237976,-93.237975,-93.237976,-93.237982,-93.237981,-93.237981,-93.237989,-93.237986,-93.237993,-93.237996,-93.237994,-93.237991,-93.237986,-93.237983,-93.237987,-93.237988,-93.237986,-93.237991,-93.237988,-93.237986,-93.237986,-93.237984,-93.237983,-93.237985,-93.237989
1,2897,1.000000,2026-04-21T06:10:35.529793+00:00,driver-CR1-146p-dec_payld-base-noise_power_mw,9.642122e-12,9.642539e-12,9.642258e-12,9.642358e-12,9.641847e-12,9.642502e-12,9.642411e-12,9.642673e-12,9.642512e-12,9.642525e-12,9.642191e-12,9.642321e-12,9.642333e-12,9.642276e-12,9.642280e-12,9.642613e-12,9.642294e-12,9.642642e-12,9.642397e-12,9.642286e-12,9.642252e-12,9.642229e-12,9.642403e-12,9.642329e-12,9.642271e-12,9.642468e-12,9.642296e-12,9.642528e-12,9.642411e-12,9.642731e-12,9.642196e-12,9.642017e-12,9.642280e-12,9.642447e-12,9.642581e-12,9.642426e-12,9.642290e-12,9.642351e-12,9.642243e-12,9.642337e-12,9.642271e-12,9.641933e-12,9.642637e-12,9.642185e-12,9.642674e-12,9.642268e-12,9.642116e-12,9.642162e-12,9.642194e-12,9.642423e-12,9.642417e-12,9.642294e-12,9.642462e-12,9.642646e-12,9.642405e-12,9.642612e-12,9.642638e-12,9.642198e-12,9.642532e-12,9.641629e-12,9.642506e-12,9.642320e-12,9.642146e-12,9.642339e-12,9.642039e-12,9.641990e-12,9.642263e-12,9.642641e-12,9.642916e-12,9.642589e-12,9.642620e-12,9.642233e-12,9.642763e-12,9.642259e-12,9.642178e-12,9.642290e-12,9.642097e-12,9.642150e-12,9.641589e-12
1,2897,1.000000,2026-04-21T06:10:35.529793+00:00,driver-CR1-146p-dec_payld-base-total_power_mw,4.842155e-10,4.840667e-10,4.841866e-10,4.840597e-10,4.841267e-10,4.841077e-10,4.842181e-10,4.842042e-10,4.841195e-10,4.840621e-10,4.841117e-10,4.841327e-10,4.840030e-10,4.841045e-10,4.840482e-10,4.849768e-10,4.841291e-10,4.841312e-10,4.854745e-10,4.853120e-10,4.869675e-10,4.841285e-10,4.840531e-10,4.844993e-10,4.885351e-10,4.881731e-10,4.861430e-10,4.877572e-10,4.880687e-10,4.916427e-10,4.869382e-10,4.943128e-10,4.960933e-10,4.973817e-10,4.921121e-10,4.901752e-10,5.000715e-10,4.989541e-10,4.958333e-10,5.002066e-10,5.064429e-10,5.007031e-10,5.003161e-10,5.018565e-10,5.051786e-10,5.021835e-10,5.068319e-10,5.148177e-10,5.091543e-10,5.193219e-10,5.152781e-10,5.259587e-10,5.243990e-10,5.299093e-10,5.300587e-10,5.400804e-10,5.395616e-10,5.456701e-10,5.556884e-10,5.612442e-10,5.687753e-10,5.774615e-10,5.825851e-10,5.948258e-10,5.990812e-10,6.126632e-10,6.277950e-10,6.395349e-10,6.531487e-10,6.718295e-10,6.882745e-10,7.042685e-10,7.238231e-10,7.450389e-10,7.612957e-10,7.956308e-10,8.207213e-10,8.474123e-10,8.892872e-10
1,2897,1.000000,2026-04-21T06:10:35.529793+00:00,driver-CR1-146p-dec_payld-base-interference_mw,2.433632e-13,9.603150e-14,1.385236e-13,1.033100e-13,1.318870e-13,1.063135e-13,1.593294e-13,1.587499e-13,1.129565e-13,5.086590e-14,1.153770e-13,1.030391e-13,6.469140e-14,8.527950e-14,8.111300e-14,9.748340e-13,1.185626e-13,1.265560e-13,1.480822e-12,1.318312e-12,2.985777e-12,1.134237e-13,9.387794e-14,5.148387e-13,4.537317e-12,4.166363e-12,2.143431e-12,3.813614e-12,4.077198e-12,7.654155e-12,2.933894e-12,1.031247e-11,1.207955e-11,1.339366e-11,8.113422e-12,6.195744e-12,1.606199e-11,1.494108e-11,1.182420e-11,1.619069e-11,2.243382e-11,1.668559e-11,1.630455e-11,1.784443e-11,2.117104e-11,1.818394e-11,2.281394e-11,3.080482e-11,2.514945e-11,3.530654e-11,3.126154e-11,4.193711e-11,4.038300e-11,4.589019e-11,4.603239e-11,5.605007e-11,5.553369e-11,6.163909e-11,7.165572e-11,7.720790e-11,8.473971e-11,9.342190e-11,9.854518e-11,1.107833e-10,1.150385e-10,1.286092e-10,1.437388e-10,1.554783e-10,1.690901e-10,1.877658e-10,2.042066e-10,2.201997e-10,2.397493e-10,2.609629e-10,2.772175e-10,3.115485e-10,3.366379e-10,3.633256e-10,4.051986e-10
1,2897,1.000000,2026-04-21T06:10:35.529793+00:00,driver-CR1-146p-dec_payld-base-snr_db,16.920366,16.920077,16.920233,16.920077,16.920286,16.920049,16.920064,16.919971,16.920090,16.920143,16.920272,16.920157,16.920166,16.920268,16.920222,16.920065,16.920212,16.920047,16.920176,16.920245,16.920219,16.920233,16.920137,16.920153,16.920225,16.920158,16.920226,16.920118,16.920156,16.920034,16.920255,16.920355,16.920232,16.920150,16.920081,16.920132,16.920204,16.920189,16.920229,16.920212,16.920227,16.920389,16.920073,16.920261,16.920053,16.920235,16.920307,16.920280,16.920274,16.920172,16.920164,16.920218,16.920156,16.920059,16.920170,16.920078,16.920066,16.920257,16.920108,16.920515,16.920112,16.920199,16.920270,16.920180,16.920317,16.920342,16.920224,16.920058,16.919929,16.920076,16.920064,16.920233,16.919997,16.920226,16.920263,16.920214,16.920302,16.920276,16.920525
